feature,importance
tenure_years,0.21096571162687028
tenure_category_encoded,0.08674603785481816
psych_perf_ratio,0.061226490327503214
leadership_potential,0.05984455701464587
score_difference,0.05548715708374299
psychological_score,0.05542627258854911
holistic_balance,0.054800619079402604
psych_behavior_ratio,0.0539583560172879
drive_score,0.04538633049986098
perf_beh_ratio,0.04425664670147563
behavior_avg,0.042888954168612395
mental_strength_score,0.042561787474696335
performance_score,0.03714773464016782
adaptability_score,0.03423727434599866
combined_score,0.033832609620333035
collaboration_score,0.01712750983377035
performance_rating_encoded,0.013835554952750575
psychological_level_encoded,0.011370084030123968
marital_status_encoded,0.010263180154250711
high_performer,0.0062310913895967
performance_level_encoded,0.00574474874851495
high_adaptability,0.005466296688600175
behavioral_level_encoded,0.004697583872427593
high_psychological,0.0025805314823280764
high_drive,0.002086729502517842
high_leadership,0.0009167830578347432
is_permanent_encoded,0.0009133672433191737
gender_encoded,0.0
